"carrera","frase"
"Sin Area","No lo sé"
"Sin Area","No tengo idea"
"Sin Area","No estoy seguro"
"Sin Area","No podría decirte"
"Sin Area","No recuerdo eso"
"Sin Area","No me acuerdo"
"Sin Area","No tengo ni idea"
"Sin Area","No sabría decirte"
"Sin Area","No estoy convencido"
"Sin Area","No estoy seguro de eso"
"Sin Area","No tengo la menor idea"
"Sin Area","No me siento capacitado"
"Sin Area","No creo que pueda hacerlo"
"Sin Area","No tengo la experiencia necesaria"
"Sin Area","No cuento con las habilidades"
"Sin Area","No sé cómo responder"
"Sin Area","No puedo decidirme"
"Sin Area","No tengo conocimientos sobre eso"
"Sin Area","No me siento competente"
"Sin Area","No tengo la capacidad para eso"
"Sin Area","No tengo la información suficiente"
"Sin Area","No puedo determinar una respuesta"
"Sin Area","No me veo capaz de hacerlo"
"Sin Area","No tengo la formación necesaria"
"Sin Area","No estoy capacitado para responder"
"Sin Area","No creo tener la habilidad requerida"
"Sin Area","No tengo la certeza necesaria"
"Sin Area","No puedo hacerlo por el momento"
"Sin Area","No tengo los conocimientos necesarios"
"Sin Area","No siento que pueda hacerlo"
"Sin Area","No tengo la confianza suficiente"
"Sin Area","No puedo dar una respuesta clara"
"Sin Area","No tengo la habilidad para eso"
"Sin Area","No tengo una respuesta definitiva"
"Sin Area","No puedo responder adecuadamente"
"Sin Area","No tengo la competencia necesaria"
"Sin Area","No puedo llegar a una conclusión"
"Sin Area","No tengo suficiente información"
"Sin Area","No tengo la aptitud requerida"
"Sin Area","No puedo tomar una decisión ahora"
"Sin Area","No tengo los recursos necesarios"
"Sin Area","No me siento capaz de hacerlo"
"Sin Area","No tengo la experiencia suficiente"
"Sin Area","No puedo afirmar nada con certeza"
"Sin Area","No tengo la capacidad para responder"
"Sin Area","No sé si pueda hacerlo"
"Sin Area","No estoy seguro de mis habilidades"
"Sin Area","No tengo el conocimiento adecuado"
"Sin Area","No puedo decirte con exactitud"
"Sin Area","No tengo suficiente confianza"
"Sin Area","No puedo dar una respuesta precisa"
"Sin Area","No sé qué debería hacer"
"Sin Area","No tengo los medios para hacerlo"
"Sin Area","No tengo la experiencia requerida"
"Sin Area","No puedo tomar una decisión clara"
"Sin Area","No tengo las habilidades necesarias"
"Sin Area","No puedo recordar la información"
"Sin Area","No sé si soy capaz de hacerlo"
"Sin Area","No tengo la seguridad necesaria"
"Sin Area","No puedo determinar si es posible"
"Sin Area","No tengo la destreza requerida"
"Sin Area","No sé si puedo lograrlo"
"Sin Area","No tengo la respuesta correcta"
"Sin Area","No puedo responder de manera adecuada"
"Sin Area","No sé qué camino tomar"
"Sin Area","No tengo la competencia suficiente"
"Sin Area","No puedo afirmar nada al respecto"
"Sin Area","No sé si es posible hacerlo"
"Sin Area","No tengo la habilidad necesaria"
"Sin Area","No puedo dar una respuesta definitiva"
"Sin Area","No sé qué debería decir"
"Sin Area","No tengo la preparación necesaria"
"Sin Area","No puedo tomar una decisión ahora mismo"
"Sin Area","No tengo suficiente información para decidir"
"Sin Area","No sé si soy capaz de hacerlo bien"
"Sin Area","No tengo la certeza de mi respuesta"
"Sin Area","No puedo decirte con certeza absoluta"
"Sin Area","No sé si puedo hacerlo correctamente"
"Sin Area","No tengo la suficiente confianza en mi respuesta"
"Sin Area","No puedo recordar exactamente la información"
"Sin Area","No sé si tengo las habilidades requeridas"
"Sin Area","No tengo la experiencia o conocimientos necesarios"
"Sin Area","No puedo tomar una decisión con seguridad"
"Sin Area","No sé si es viable llevarlo a cabo"
"Sin Area","No tengo la capacidad para responder adecuadamente"
"Sin Area","No puedo dar una respuesta precisa en este momento"
